[2026-09-24T17:06:19] [INFO] --- Starting Player Rank Import Task ---
[2026-09-24T17:06:19] [INFO] Starting new rank fetch cycle for マスター (master)...
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p1: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p2: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p3: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p4: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p5: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p6: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p7: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p8: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p9: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p10: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p11: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p12: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p13: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p14: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p15: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p16: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p17: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p18: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p19: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p20: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p21: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p22: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p23: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p24: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p25: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p26: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p27: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p28: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p29: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p30: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p31: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p32: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p33: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p34: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p35: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p36: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p37: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p38: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p39: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p40: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
[2026-09-24T17:06:19] [ERROR] [prefecture] マスター(master) p41: **prefectureId が返ってきていない**。実際の項目名: id, playerId, nickname, currentLeagueId, currentRanking, prefectureName, championShipPoint, publicFlg, championFlg, avatarImage
